링크ID,시작노드ID,종료노드ID,시작노드명,종료노드명,도로명,지도거리,표준링크수,기본도로여부,권역코드,권역코드명,소통등급구분코드,소통등급구분코드명,소통제공여부
1070002000,1000001300,1050020900,신설동역,대광중고교,보문로,304.0,2,Y,100,종로구,20,시내,Y
1070002200,1050020900,1050022700,대광중고교,안암2교,안암로,173.0,3,Y,105,동대문구,20,시내,Y
1070002400,1050022700,1050024700,안암2교,안암오거리,안암로,573.0,2,Y,105,동대문구,20,시내,Y
1070002500,1070007200,1050020900,보문역,대광중고교,보문로,845.0,3,Y,107,성북구,20,시내,Y
1070002600,1050020900,1070007200,대광중고교,보문역,보문로,846.0,3,Y,105,동대문구,20,시내,Y
1070003200,1050024700,1070001700,안암오거리,안암역,인촌로24길,400.0,2,Y,105,동대문구,20,시내,Y
1070003400,1050024700,1050026100,안암오거리,고대앞사거리,안암로,507.0,2,Y,105,동대문구,20,시내,Y
1070003500,1070007200,1070007100,보문역,보문사입구,지봉로,158.0,1,Y,107,성북구,20,시내,Y
1070003600,1070007100,1070007200,보문사입구,보문역,지봉로,156.0,1,Y,107,성북구,20,시내,Y
1070003800,1070007200,1070001600,보문역,보문3교,인촌로,167.0,2,Y,107,성북구,20,시내,Y
1070004200,1070001600,1070001700,보문3교,안암역,인촌로,739.0,3,Y,107,성북구,20,시내,Y
1005002600,1020012500,1020012600,한강대교북단교차로,한강대교북단교차로(서측),한강대교 북단(강변북로 일산방향 진입),119.0,1,N,,,20,시내,Y
1005002700,1070036100,1100011500,석계고가차도(서측),석계고가차도(동측),화랑로,528.0,1,Y,107,성북구,20,시내,Y
1005002900,1130001900,1130035500,내부순환로입구교차로,마포구청역,성산로,481.0,1,Y,113,마포구,20,시내,Y
1005003400,1070021200,1070041200,돈암1동주민센터,길음교,정릉로,395.0,4,Y,107,성북구,20,시내,Y
1005003600,1070021300,1070021200,종암사거리,돈암1동주민센터,정릉로,689.0,4,Y,107,성북구,20,시내,Y
1005003700,1070021300,1070018700,종암사거리,종암SK아파트,화랑로,575.0,3,Y,107,성북구,20,시내,Y
1005003800,1070019500,1070021300,월곡역,종암사거리,화랑로,807.0,4,Y,107,성북구,20,시내,Y
1005004000,1070004800,1070019500,상월곡역,월곡역,화랑로,693.0,4,Y,107,성북구,20,시내,Y
1005004100,1070004800,1070031400,상월곡역,돌곶이역,화랑로,963.0,5,Y,107,성북구,20,시내,Y
1005004400,1070034600,1070031400,장위사거리,돌곶이역,화랑로,399.0,1,Y,107,성북구,20,시내,Y
1005004600,2040022500,2040022400,세곡터널,심곡터널,용인서울고속국도,340.0,1,N,,,10,도시고속,Y
1005004800,2040022300,2040022400,심곡터널,심곡터널,용인서울고속국도,1215.0,1,N,,,10,도시고속,Y
1005004900,2040022400,2040022300,심곡터널,심곡터널,용인서울고속국도,1215.0,1,N,,,10,도시고속,Y
1005005000,2060056600,2060056500,운중터널,서판교IC,용인서울고속국도,472.0,1,N,,,10,도시고속,Y
1005005300,2040022000,2040022100,운중터널,금토영업소,용인서울고속국도,1131.0,1,N,,,10,도시고속,Y
1005005400,2040022100,2040022000,금토영업소,운중터널,용인서울고속국도,1131.0,1,N,,,10,도시고속,Y
1005005600,2040022100,2040022200,금토영업소,고등IC,용인서울고속국도,1629.0,1,N,,,10,도시고속,Y
1005005700,2040022200,2040022300,고등IC,심곡터널,용인서울고속국도,1743.0,1,N,,,10,도시고속,Y
1005005800,2040022300,2040022200,심곡터널,고등IC,용인서울고속국도,1742.0,1,N,,,10,도시고속,Y
1005006100,2060056500,2060056600,서판교IC,운중터널,용인서울고속국도,471.0,1,N,,,10,도시고속,Y
1120002801,1130029100,1120005100,신촌기차역입구교차로,신촌역,신촌역로,279.0,2,Y,112,서대문구,20,시내,Y
1120003501,1120005100,1120001500,신촌역,명물거리교차로,신촌역로,211.0,2,Y,112,서대문구,20,시내,Y
1120004001,1120001500,1120001900,명물거리교차로,세브란스병원입구,신촌역로,138.0,2,Y,112,서대문구,20,시내,Y
1120003901,1120005700,1120001500,세브란스병원입구,명물거리교차로,신촌역로,125.0,2,Y,112,서대문구,20,시내,Y
1120003601,1120001500,1120004600,명물거리교차로,신촌역,신촌역로,242.0,2,Y,112,서대문구,20,시내,Y
1120002701,1120004600,1130029100,신촌역,신촌기차역입구교차로,신촌역로,211.0,1,Y,112,서대문구,20,시내,Y
1005006200,2040022500,1220010400,세곡터널,헌릉IC,용인서울고속국도,1171.0,,N,,,10,도시고속,Y
1005006400,1220010400,1210014100,헌릉IC,헌릉IC,용인서울고속국도,242.0,1,N,,,10,도시고속,Y
1005006500,1210008200,1220010400,헌릉IC,헌릉IC,용인서울고속국도,242.0,1,N,,,10,도시고속,Y
1005006600,2270005000,2270004900,선동IC,올림픽대로 서울강동-경기하남,서울춘천고속도로,359.0,1,N,,,10,도시고속,Y
1005006800,2270004802,2270005000,미사IC서측(본선),선동IC,서울춘천고속도로,538.0,1,N,,,10,도시고속,Y
1010006600,1010016500,1010022500,충무로역,명보사거리,충무로,363.0,2,Y,101,중구,20,시내,Y
1010006700,1010025500,1010014500,신당역,청구역,다산로,604.0,2,Y,101,중구,20,시내,Y
1010006800,1010014500,1010025500,청구역,신당역,다산로,609.0,2,Y,101,중구,20,시내,Y
1010006900,1010020300,1010018800,퇴계로5가,퇴계로4가,퇴계로,373.0,3,Y,101,중구,20,시내,Y
1010007000,1010018800,1010020300,퇴계로4가,퇴계로5가,퇴계로,373.0,3,Y,101,중구,20,시내,Y
1010007100,1010021100,1010017900,명동입구,한국은행앞,남대문로,205.0,1,Y,101,중구,20,시내,Y
1010007300,1010021600,1010018200,시청역,경찰청앞,서소문로,686.0,5,Y,101,중구,20,시내,Y
1010007400,1010018200,1010021600,경찰청앞,시청역,서소문로,683.0,6,Y,101,중구,20,시내,Y
1010007500,1010021700,1010017900,웨스턴조선호텔,한국은행앞,소공로,278.0,1,Y,101,중구,20,시내,Y
1010007700,1010023600,1010017000,명동성당,퇴계로2가,삼일대로,403.0,2,Y,101,중구,20,시내,Y
1010007900,1010002800,1010018800,중구청,퇴계로4가,창경궁로,229.0,2,Y,101,중구,20,시내,Y
1010008100,1010022100,1010020300,광희동사거리,퇴계로5가,퇴계로,420.0,3,Y,101,중구,20,시내,Y
